  Freq. No. =   1,  f = 5.1077e+03 (Hz),  k = (0.1832D+01, 0.0000D+00):
 Solution on the Boundary:
Elements: this line is just for fun 
349 ( -1.185316e+05 , -2.939988e+07 ) 
350 ( -9.310196e+06 , -2.095860e+07 ) 
351 ( -8.238841e+06 , 5.572036e+04 ) 
352 ( -6.220670e+06 , -1.438644e+07 ) 
353 ( -8.579546e+06 , -3.390551e+07 ) 
354 ( -7.295064e+06 , -2.552013e+07 ) 
355 ( -9.811878e+06 , -1.474002e+07 ) 
356 ( -1.192147e+07 , -2.508391e+07 ) 
357 ( 5.362549e+06 , -2.424111e+07 ) 
358 ( 4.686853e+06 , -1.025772e+07 ) 
359 ( -1.331153e+06 , -5.230463e+06 ) 
360 ( -3.133489e+06 , -2.098360e+07 ) 
361 ( 6.469259e+06 , -1.853714e+07 ) 
362 ( 4.216389e+06 , -1.335689e+07 ) 
363 ( -1.132156e+06 , -2.369328e+06 ) 
364 ( 4.607268e+06 , -8.192114e+06 ) 
365 ( -1.270387e+06 , -2.191119e+07 ) 
366 ( 2.469148e+06 , -2.200574e+07 ) 
367 ( 3.516780e+06 , -1.912398e+07 ) 
368 ( 2.975863e+06 , -1.792912e+07 ) 
369 ( -6.735158e+05 , -1.439762e+07 ) 
370 ( 2.485356e+06 , -1.230925e+07 ) 
371 ( -3.680516e+05 , -1.760810e+07 ) 
372 ( 8.844991e+05 , -2.002203e+07 ) 
373 ( 9.622254e+06 , -7.178328e+06 ) 
374 ( 9.726111e+06 , -1.045497e+07 ) 
375 ( -1.391272e+05 , -1.383536e+07 ) 
376 ( 4.014620e+06 , -9.694820e+06 ) 
377 ( 7.619876e+06 , -9.531843e+06 ) 
378 ( 5.733622e+06 , -1.376813e+07 ) 
379 ( 2.212498e+06 , -2.002812e+07 ) 
380 ( 9.011428e+06 , -1.243249e+07 ) 
381 ( 1.028228e+06 , -8.122784e+06 ) 
382 ( 7.765058e+06 , -1.055003e+07 ) 
383 ( 2.412747e+06 , -1.495252e+07 ) 
384 ( 3.562091e+06 , -1.251509e+07 ) 
385 ( 6.475294e+06 , -1.369333e+07 ) 
386 ( 6.042226e+06 , -1.612457e+07 ) 
387 ( 7.501064e+06 , -1.478468e+07 ) 
388 ( 9.052079e+06 , -1.167624e+07 ) 
389 ( -8.273631e+06 , -1.200828e+07 ) 
390 ( -4.430144e+05 , -1.024782e+07 ) 
391 ( 1.161224e+06 , -1.682104e+07 ) 
392 ( 7.114465e+05 , -1.654385e+07 ) 
393 ( -1.155309e+07 , -1.381135e+07 ) 
394 ( -4.344933e+06 , -1.414599e+07 ) 
395 ( 3.542929e+06 , -1.108906e+07 ) 
396 ( -3.966916e+06 , -8.187024e+06 ) 
397 ( -1.109079e+07 , -1.318430e+07 ) 
398 ( -4.249624e+06 , -1.115193e+07 ) 
399 ( 5.462947e+06 , -1.432233e+07 ) 
400 ( -4.353121e+06 , -1.460991e+07 ) 
401 ( -9.944791e+06 , -1.904331e+06 ) 
402 ( -7.768467e+06 , -2.452996e+06 ) 
403 ( 1.759523e+05 , -9.867868e+06 ) 
404 ( -5.419256e+06 , -7.817774e+06 ) 
405 ( -9.689202e+06 , -2.746964e+06 ) 
406 ( -6.085215e+06 , -5.346576e+06 ) 
407 ( 7.779594e+05 , -8.168000e+06 ) 
408 ( -7.294835e+06 , -2.238920e+06 ) 
409 ( -3.095099e+06 , -4.333085e+06 ) 
410 ( -5.350038e+05 , -9.557515e+05 ) 
411 ( 3.564024e+06 , -1.010756e+07 ) 
412 ( -3.240190e+06 , -5.914603e+06 ) 
413 ( -9.212638e+02 , 7.487099e+06 ) 
414 ( 7.046934e+06 , 6.930022e+06 ) 
415 ( 3.158666e+06 , -3.669451e+06 ) 
416 ( 4.939176e+05 , 3.022846e+06 ) 
417 ( -2.042308e+06 , 6.158429e+06 ) 
418 ( 4.138163e+06 , 5.556526e+06 ) 
419 ( 3.340491e+06 , -4.627283e+06 ) 
420 ( 1.946921e+06 , 6.262897e+06 ) 
421 ( 2.482696e+06 , 1.185244e+07 ) 
422 ( 1.285302e+07 , 1.381327e+07 ) 
423 ( 7.924208e+06 , -5.147607e+05 ) 
424 ( 6.790257e+06 , 7.667293e+06 ) 
425 ( 1.370938e+06 , 1.179951e+07 ) 
426 ( 7.624639e+06 , 7.629333e+06 ) 
